Description,SalesDollars,cum_pct,ABC_Category
Capt Morgan Spiced Rum,610008.34,1.8407357853365256,A
Jack Daniels No 7 Black,558064.03,3.5247265821346754,A
Absolut 80 Proof,422095.29,4.798423766545299,A
Tito's Handmade Vodka,420186.25,6.066360311283949,A
Ketel One Vodka,417950.58999999997,7.327550621428748,A
Jameson Irish Whiskey,410287.84,8.565618136008018,A
Grey Goose Vodka,394280.19,9.755381631999375,A
Baileys Irish Cream,294738.43,10.644772054784259,A
Kahlua,290933.11,11.522679702270272,A
Jim Beam,255837.61,12.294684629222532,A
Crown Royal,255560.12,13.065852213896697,A
Smirnoff 80 Proof,251733.27,13.825472055239818,A
Bacardi Superior Rum Trav,201995.95,14.435006629239327,A
Tanqueray,200893.36,15.0412140735318,A
Fireball Cinnamon Whisky,190941.48,15.617391138817693,A
Jose Cuervo Especial,185760.84,16.177935320397527,A
Jagermeister Liqueur,179902.7,16.720802222460968,A
Johnnie Walker Red Label,179553.0,17.26261388435485,A
Patron Silver Tequila,178902.73,17.802463318553404,A
Makers Mark,178747.63,18.341844729445413,A
Bacardi Superior Rum,175642.79,18.871857104340727,A
Canadian Club,163104.13,19.36403334053314,A
Pinnacle Vodka,158958.13,19.84369877963382,A
Three Olives Vodka,157611.94999999998,20.31930204197884,A
Dewars White Label,149946.08,20.77177309397615,A
Bombay Sapphire Gin,140835.77,21.196753253582532,A
Johnnie Walker Black Label,138452.69,21.614542330136967,A
Grand Marnier,131064.36,22.010036689499714,A
Stolichnaya,130061.04999999999,22.402503502352538,A
Svedka Vodka,125700.48999999999,22.781812070785122,A
Jack Daniels Tennessee Honey,124491.14,23.15747135497677,A
The Glenlivet 12 Yr Single,122286.95,23.526479367137163,A
Smirnoff Traveler,119759.43,23.887860440111517,A
Clos du Bois Chard,113306.85,24.22977047615915,A
New Amsterdam Vodka,112667.0,24.569749727469894,A
Malibu Rum,111849.62,24.907262486902482,A
Skyy Vodka,110705.64,25.2413232198862,A
Kendall Jackson Chard Vt RSV,109159.42,25.5707181437336,A
Josh Cellars Cab Svgn Sonoma,108554.52,25.8982877465099,A
Jim Beam Traveler,107513.05,26.222714652748063,A
Southern Comfort,102739.12999999999,26.532735976629212,A
Knob Creek Bourbon,102728.9,26.842726430888014,A
Amaretto DiSaronno,101490.05,27.148978582933335,A
Bulleit Bourbon,96028.97,27.438751607197247,A
Simi Chard,93369.42,27.720499284040677,A
Dr McGillicuddy's Mentholmnt,92480.12,27.999563446206416,A
Black Velvet Canadian Whisky,91191.42,28.274738880872857,A
Beefeater,90803.53,28.54874383481476,A
J Lohr Riverstone Chard,88584.44,28.816052555105365,A
Platinum 7X Distilled Vodka,84599.7,29.07133708977047,A
Zhenka 80 Proof,82317.6,29.319735254430018,A
Stolichnaya Razberi,81550.23999999999,29.56581786548216,A
Canadian Ltd,78667.0,29.80320013147719,A
Cointreau Liqueur,78528.41,30.040164194054732,A
Hornitos Reposado Tequila,77118.44,30.272873589826805,A
Apothic Winemakers Red Blend,75034.89,30.499295751811985,A
Bulleit 95 Rye,74571.44,30.72431942636056,A
Smirnoff Raspberry Vodka,73845.41,30.947152262990045,A
Absolut Citron,73739.5,31.16966551001028,A
Seagrams VO,71172.2,31.384431779371656,A
Sailor Jerry Spiced Navy Rum,70624.75,31.59754608639154,A
Moet & Chandon Nectar Imp Rs,69002.22,31.80576431439423,A
Cavit Pinot Grigio,68581.66,32.01271347803974,A
Ciroc Apple Vodka,68344.28,32.21894633367423,A
Seagrams 7 Crown,68275.83,32.424972637436824,A
Gentleman Jack,67417.66,32.62840936311446,A
R M Woodbridge Chard Cal,66131.78,32.82796587080746,A
Jose Cuervo Especial Silver,65423.329999999994,33.0253845892579,A
MezzaCorona Pnt Grigio,65371.56,33.2226470887104,A
Mark West Pnt Nr Sonoma,64836.89,33.41829619021765,A
Veuve Clicquot Brut Yellow,63173.31,33.608925341935745,A
J Lohr Seven Oaks Cab Svgn,61651.32,33.794961799957335,A
Chivas Regal,60591.42,33.977799947839635,A
Hendrick's Gin,60589.689999999995,34.16063287534591,A
Burnetts Vodka,59078.340000000004,34.338905215976986,A
Evan Williams Black Label B,58046.649999999994,34.514064371791,A
Hornitos Plata Tequila,57946.549999999996,34.68892147001001,A
Crown Royal Regal Apple,57376.88,34.862059555740046,A
Gordons Vodka 80 Proof,57324.87,35.03504069825814,A
Woodford Reserve Bourbon,55471.86,35.202430274900934,A
Santa Margherita Pnt Grigio,55113.56,35.36873866037202,A
Gordons London Dry,55068.15,35.53491001851653,A
Kamora Coffee,54146.32,35.698299700808874,A
Jenkins Vodka,54012.14,35.861284487116244,A
Sambuca Romana,53903.72,36.02394210974278,A
Phillips Seven Deadly Znfdl,51190.85,36.17841348873539,A
Courvoisier VS Cognac,51055.61,36.33247677313112,A
Moet & Chandon Imperial,50835.63,36.485876255031854,A
Fleischmanns Royal Vodka,47546.2,36.629349689832374,A
Bentley's Vodka,47492.37,36.77266068946468,A
Simi Cab Svgn,46523.13,36.91304695080147,A
Myers Original Dark Rum,46301.8,37.05276533593945,A
Kraken Black Spiced Rum,44564.31,37.187240743547534,A
R M Woodbridge Cab Svgn Cal,44447.57,37.32136388138898,A
Rumpleminze,44444.71,37.45547838901342,A
RumChata Liqueur,43679.57,37.58728404201009,A
Sterling Vintners Cab Svgn C,42906.98,37.716758359568956,A
Allens Coffee Brandy,42813.05,37.845949237868105,A
Yukon Jack,42429.63,37.973983123928726,A
Jack Daniels Tennesse Fire,41878.13,38.10035282653636,A
Glenfiddich Special Rsv 12,41442.01,38.22540651157823,A
New Amsterdam Gin,41369.35,38.35024094082736,A
Belvedere Polish Vodka,41313.39,38.474906507508905,A
Carpineto Dogajolo Tuscan Rd,40570.69,38.59733093357297,A
1800 Silver Tequila,40491.97,38.719517817440455,A
Capt Morgan Spiced Rum 100,40405.39,38.84144344110238,A
Banfi Chianti Clsc RSV,40095.58,38.962434194999,A
Caymus Cab Svgn Napa Vly,39733.42,39.082332109948496,A
Wild Turkey 101,39422.18,39.201290840024186,A
Menage a Trois Red,39157.16,39.319449856774916,A
Gilbeys London Dry,38974.67,39.43705819929477,A
Franzia Tap Chard,38858.01,39.554314513452645,A
Capt Morgan Private Stock,38333.02,39.66998663963049,A
Sebastiani Znfdl Sonoma Cnty,38331.63,39.785654571402176,A
Josh Cellars Chard,38294.52,39.901210521581945,A
Canadian Mist,37761.590000000004,40.01515832436806,A
Bacardi Oakheart Spiced Rum,37749.71,40.12907027856049,A
Sterling Vintners Cltn Chard,37598.02,40.24252449932048,A
Ryans Irish Cream,37436.33,40.355490811064136,A
Luksusowa Potato Vodka,37300.2,40.46804634258393,A
Johnnie Walker Blue Label,37268.520000000004,40.58050627785388,A
Cecchi Sangiovese,37033.31,40.69225645321454,A
Remy Martin VSOP Cognac,36816.31,40.8033518184042,A
Fireball Cinnamon Whiskey,36743.22,40.91422663025103,A
Goslings Black Seal Bermuda,36643.369999999995,41.024800138892445,A
Mount Gay Eclipse,36413.17,41.134679005592105,A
The Macallan 12 Yr Old,36350.46,41.24436864120503,A
DeKuyper Triple Sec,36100.61,41.3533043398538,A
Hennessy Privilege VSOP,35870.15,41.461544611995635,A
Glen Ellen Chard RSV,35725.86,41.56934948063714,A
Pinnacle Whipped Vodka,35651.85,41.67693101978208,A
Oyster Bay Svgn Bl Marlboro,35305.31,41.783466854241986,A
Basil Hayden Bourbon,35017.0,41.889132696442,A
Bombay Dry Gin,34485.9,41.993195913380205,A
Belvedere Vodka,34178.26,42.096330808654805,A
Meiomi Pnt Nr,34144.11,42.199362654310335,A
Alamos Ridge Malbec Mendoza,34131.41,42.30235617697429,A
E & J Brandy VS,33961.28,42.40483632242908,A
Ciroc Snap Frost Vodka,33924.7,42.5072060855979,A
Ciroc Red Berry Vodka,33627.27,42.6086783363743,A
Smirnoff Vanilla Vodka,33370.75,42.709376523072066,A
Buchanans Deluxe 12Yr Scotch,33091.98,42.809233505017005,A
Jameson Black Barrel,33013.68,42.90885421213987,A
The Famous Grouse,32999.64,43.00843255274293,A
Lagavulin Single Malt 16-Yr,32977.509999999995,43.107944114778775,A
Toasted Head Chard,32911.87,43.20725760428179,A
Bella Sera Pinot Grigio Del,32893.090000000004,43.30651442403821,A
Smirnoff 80 Proof Traveler,32835.32,43.40559691944635,A
Calico Jack Spiced Rum,32825.5,43.50464978243109,A
Sonoma-Cutrer Chard Sonoma,32807.71,43.60364896305203,A
1800 Reposado Gold Tequila,32209.72,43.700843673930365,A
Banfi Centine Mntcln Tscna,31728.09,43.79658503816053,A
Beringer Classic Wh Znfdl,31713.69,43.89228294954985,A
Gilbeys Vodka Traveler,31692.52,43.987916979228025,A
Barefoot Pnt Grigio Cal,31618.61,44.08332798116547,A
Joseph Carr Cab Svgn Napa,31553.96,44.178543897952906,A
Ezra Brooks,31498.469999999998,44.27359237042518,A
Chambord Royale de France,31444.059999999998,44.36847665754537,A
Bacardi Gold Rum Traveler,31392.55,44.463205510232804,A
Rodney Strong Cab Svgn,31245.6,44.557490932714586,A
Jack Daniels Tennessee Fire,30948.010000000002,44.6508783599946,A
Gilbeys Vodka,30885.22,44.74407631478321,A
WhistlePig 10 Yr Old Rye,30663.71,44.83660585021248,A
Cutty Sark,30662.739999999998,44.92913245861011,A
Jim Beam Black,30520.2,45.0212289442346,A
Jenkins Rum,30457.47,45.11313613842118,A
La Crema Chard Sonoma Cst,30411.379999999997,45.204904253341496,A
Ciroc Peach Vodka,30157.78,45.29590711545368,A
Simi Svgn Bl,30011.32,45.386468025963836,A
Bacardi Gold Rum,29725.34,45.47616597512514,A
Freakshow Cab Svgn,29720.309999999998,45.56584874596775,A
Ch La Rousseliere St Estephe,29698.02,45.6554642554338,A
