SalesDate,SalesQuantity,forecast_7day
2016-01-01,49911,
2016-01-02,93114,
2016-01-03,53037,
2016-01-04,41341,
2016-01-05,40831,
2016-01-06,51358,
2016-01-07,59792,
2016-01-08,97389,55626.28571428572
2016-01-09,101690,62408.857142857145
2016-01-10,46146,63634.0
2016-01-11,44654,62649.57142857143
2016-01-12,49803,63122.857142857145
2016-01-13,48556,64404.57142857143
2016-01-14,64830,64004.28571428572
2016-01-15,107858,64724.0
2016-01-16,98860,66219.57142857143
2016-01-17,66170,65815.28571428571
2016-01-18,48512,68675.85714285714
2016-01-19,49128,69227.0
2016-01-20,53132,69130.57142857143
2016-01-21,70333,69784.28571428571
2016-01-22,107974,70570.42857142857
2016-01-23,106146,70587.0
2016-01-24,59926,71627.85714285714
2016-01-25,41917,70735.85714285714
2016-01-26,48505,69793.71428571429
2016-01-27,54176,69704.71428571429
2016-01-28,69222,69853.85714285714
2016-01-29,180426,69695.14285714286
2016-01-30,117456,80045.42857142857
2016-01-31,72766,81661.14285714286
2016-02-01,5771,83495.42857142857
2016-02-02,6529,78331.71428571429
2016-02-03,6393,72335.14285714286
2016-02-04,8018,65509.0
2016-02-05,11256,56765.57142857143
2016-02-06,15219,32598.428571428572
2016-02-07,7362,17993.14285714286
2016-02-08,5425,8649.714285714286
2016-02-09,6404,8600.285714285714
2016-02-10,6787,8582.42857142857
2016-02-11,9536,8638.714285714286
2016-02-12,16691,8855.57142857143
2016-02-13,14756,9632.0
2016-02-14,7406,9565.857142857143
2016-02-15,6387,9572.142857142857
2016-02-16,5588,9709.57142857143
2016-02-17,7685,9593.0
2016-02-18,9055,9721.285714285714
2016-02-19,14438,9652.57142857143
2016-02-20,12450,9330.714285714286
2016-02-21,6470,9001.285714285714
2016-02-22,6317,8867.57142857143
2016-02-23,7549,8857.57142857143
2016-02-24,5743,9137.714285714286
2016-02-25,7777,8860.285714285714
2016-02-26,13416,8677.714285714286
2016-02-27,13011,8531.714285714286
2016-02-28,6866,8611.857142857143
2016-02-29,5905,8668.42857142857
