Store,inventory_value
1,1206845.93
2,850884.0599999999
3,125674.17
4,849061.44
5,255093.41
6,698834.0
7,811861.08
8,560721.48
9,658986.97
10,1395389.05
11,722827.9299999999
12,432508.38
13,337788.76
14,547545.54
15,1614792.15
16,316166.19
17,260691.26
18,284557.99
19,843990.5599999999
20,686229.57
21,1172514.53
22,589337.63
23,1382633.4
24,452763.86
25,616494.49
26,336543.58
27,704864.78
28,335502.44
29,236009.36
30,720325.16
31,399759.01
32,1146708.21
33,1281093.69
34,3074616.75
35,454403.37
36,327403.31
37,360388.6
38,2463906.85
39,588081.3
40,340739.36
41,1991001.75
42,554744.12
43,289753.36
44,1405905.73
45,283962.08999999997
46,0.0
47,501703.01
48,792393.9
49,1454589.3599999999
50,4887260.68
51,578340.6799999999
52,359362.22
53,561704.78
54,854039.94
55,2234836.35
56,653229.3099999999
57,436553.32
58,368221.69
59,855147.62
60,1406880.33
61,1089540.3599999999
62,452680.36
63,382660.23
64,869717.79
65,247155.74
66,2860504.9899999998
67,3076114.82
68,948346.29
69,2968678.82
70,501593.87
71,881448.72
72,548873.46
73,3254662.81
74,2803645.13
75,509833.45
76,2975945.18
77,711893.36
78,561110.97
79,1573008.56
81,1573266.38
